filename,time(ms)
log-gcd-r-s-p-gcd2.log,3220
log-gcd-r-s-p-gcd3.log,3900
log-gcd-t1-c-a-gcd1.log,-
log-gcd-t1-c-a-gcd2.log,-
log-gcd-t1-c-a-gcd3.log,-
log-gcd-t1-c-i-gcd1.log,9663040
log-gcd-t1-c-i-gcd2.log,-
log-gcd-t1-c-i-gcd3.log,-
log-gcd-t1-c-n-gcd1.log,-
log-gcd-t1-c-n-gcd2.log,-
log-gcd-t1-c-n-gcd3.log,-
log-gcd-t1-c-p-gcd1.log,2880212
log-gcd-t1-c-p-gcd2.log,8874672
log-gcd-t1-c-p-gcd3.log,-
log-gcd-t1-s-a-gcd1.log,2627708
log-gcd-t1-s-a-gcd2.log,-
log-gcd-t1-s-a-gcd3.log,-
log-gcd-t1-s-i-gcd1.log,2249220
log-gcd-t1-s-i-gcd2.log,-
log-gcd-t1-s-i-gcd3.log,-
log-gcd-t1-s-n-gcd1.log,7797488
log-gcd-t1-s-n-gcd2.log,-
log-gcd-t1-s-n-gcd3.log,-
log-gcd-t1-s-p-gcd1.log,817952
log-gcd-t1-s-p-gcd2.log,4523144
log-gcd-t1-s-p-gcd3.log,-
log-gcd-t2-c-a-gcd1.log,3123244
log-gcd-t2-c-a-gcd2.log,9009304
log-gcd-t2-c-a-gcd3.log,-
log-gcd-t2-c-i-gcd1.log,838384
log-gcd-t2-c-i-gcd2.log,-
log-gcd-t2-c-i-gcd3.log,-
log-gcd-t2-c-n-gcd1.log,7316720
log-gcd-t2-c-n-gcd2.log,-
log-gcd-t2-c-n-gcd3.log,-
log-gcd-t2-c-p-gcd1.log,347872
log-gcd-t2-c-p-gcd2.log,1084264
log-gcd-t2-c-p-gcd3.log,12739076
log-gcd-t2-s-a-gcd1.log,442484
log-gcd-t2-s-a-gcd2.log,2566048
log-gcd-t2-s-a-gcd3.log,-
log-gcd-t2-s-i-gcd1.log,340060
log-gcd-t2-s-i-gcd2.log,4511684
log-gcd-t2-s-i-gcd3.log,-
log-gcd-t2-s-n-gcd1.log,1084032
log-gcd-t2-s-n-gcd2.log,-
log-gcd-t2-s-n-gcd3.log,-
log-gcd-t2-s-p-gcd1.log,144200
log-gcd-t2-s-p-gcd2.log,759452
log-gcd-t2-s-p-gcd3.log,6093600
log-gcd-t3-c-a-gcd1.log,895808
log-gcd-t3-c-a-gcd2.log,2839920
log-gcd-t3-c-a-gcd3.log,8040480
log-gcd-t3-c-i-gcd1.log,137636
log-gcd-t3-c-i-gcd2.log,1371808
log-gcd-t3-c-i-gcd3.log,3330288
log-gcd-t3-c-n-gcd1.log,1017596
log-gcd-t3-c-n-gcd2.log,13420264
log-gcd-t3-c-n-gcd3.log,-
log-gcd-t3-c-p-gcd1.log,106180
log-gcd-t3-c-p-gcd2.log,352616
log-gcd-t3-c-p-gcd3.log,1151992
log-gcd-t3-s-a-gcd1.log,91528
log-gcd-t3-s-a-gcd2.log,466860
log-gcd-t3-s-a-gcd3.log,2448628
log-gcd-t3-s-i-gcd1.log,58648
log-gcd-t3-s-i-gcd2.log,449028
log-gcd-t3-s-i-gcd3.log,1858484
log-gcd-t3-s-n-gcd1.log,178912
