Computing reachable states... 
Iteration 279... 280 sym states passed, 29 waiting 0.00400001s
Iteration 280... 281 sym states passed, 29 waiting 0.00400001s
Iteration 281... 282 sym states passed, 28 waiting 0.00100001s
Iteration 282... 283 sym states passed, 28 waiting 0.00400001s
Iteration 283... 284 sym states passed, 28 waiting 0.00400001s
Iteration 284... 285 sym states passed, 27 waiting 0.00100001s
Iteration 285... 286 sym states passed, 27 waiting 0.00400001s
Iteration 286... 287 sym states passed, 27 waiting 0.00400001s
Iteration 287... 288 sym states passed, 26 waiting 0.00100001s
Iteration 288... 289 sym states passed, 25 waiting 0.00400001s
Iteration 289... 290 sym states passed, 25 waiting 0.00400001s
Iteration 290... 291 sym states passed, 24 waiting 0.00100001s
Iteration 291... 292 sym states passed, 23 waiting 0.00400001s
Iteration 292... 293 sym states passed, 23 waiting 0.00400001s
Iteration 293... 294 sym states passed, 22 waiting 0.00100001s
Iteration 294... 295 sym states passed, 22 waiting 0.00400001s
Iteration 295... 296 sym states passed, 22 waiting 0.00400001s
Iteration 296... 297 sym states passed, 21 waiting 0.00100001s
Iteration 297... 298 sym states passed, 21 waiting 0.00400001s
Iteration 298... 299 sym states passed, 21 waiting 0.00400001s
Iteration 299... 300 sym states passed, 20 waiting 0.00100001s
Iteration 300... 301 sym states passed, 22 waiting 0.00600001s
Iteration 301... 302 sym states passed, 21 waiting 0.00200001s
Iteration 302... 303 sym states passed, 23 waiting 0.00600001s
Iteration 303... 304 sym states passed, 22 waiting 0.00200001s
Iteration 304... 305 sym states passed, 24 waiting 0.00600001s
Iteration 305... 306 sym states passed, 23 waiting 0.00200001s
Iteration 306... 307 sym states passed, 25 waiting 0.00600001s
Iteration 307... 308 sym states passed, 24 waiting 0.00200001s
Iteration 308... 309 sym states passed, 23 waiting 0.00200001s
Iteration 309... 310 sym states passed, 22 waiting 0.00200001s
Iteration 310... 311 sym states passed, 24 waiting 0.00600001s
Iteration 311... 312 sym states passed, 23 waiting 0.00200001s
Iteration 312... 313 sym states passed, 25 waiting 0.00600001s
Iteration 313... 314 sym states passed, 24 waiting 0.00200001s
Iteration 314... 315 sym states passed, 23 waiting 0.00200001s
Iteration 315... 316 sym states passed, 22 waiting 0.00200001s
Iteration 316... 317 sym states passed, 24 waiting 0.00600001s
Iteration 317... 318 sym states passed, 23 waiting 0.00200001s
Iteration 318... 319 sym states passed, 25 waiting 0.00600001s
Iteration 319... 320 sym states passed, 24 waiting 0.00300001s
Iteration 320... 321 sym states passed, 25 waiting 0.00400001s
Iteration 321... 322 sym states passed, 26 waiting 0.00400001s
Iteration 322... 323 sym states passed, 26 waiting 0.00800001s
Iteration 323... 324 sym states passed, 27 waiting 0.00400001s
Iteration 324... 325 sym states passed, 28 waiting 0.00400001s
Iteration 325... 326 sym states passed, 28 waiting 0.00800001s
Iteration 326... 327 sym states passed, 29 waiting 0.00400001s
Iteration 327... 328 sym states passed, 30 waiting 0.00400001s
Iteration 328... 329 sym states passed, 30 waiting 0.00800001s
Iteration 329... 330 sym states passed, 31 waiting 0.00400001s
Iteration 330... 331 sym states passed, 32 waiting 0.00400001s
Iteration 331... 332 sym states passed, 32 waiting 0.00800001s
Iteration 332... 333 sym states passed, 33 waiting 0.00400001s
Iteration 333... 334 sym states passed, 34 waiting 0.00400001s
Iteration 334... 335 sym states passed, 34 waiting 0.00800001s
Iteration 335... 336 sym states passed, 35 waiting 0.00400001s
Iteration 336... 337 sym states passed, 36 waiting 0.00400001s
Iteration 337... 338 sym states passed, 36 waiting 0.00900001s
Iteration 338... 339 sym states passed, 37 waiting 0.00400001s
Iteration 339... 340 sym states passed, 38 waiting 0.00400001s
Iteration 340... 341 sym states passed, 38 waiting 0.00900001s
Iteration 341... 342 sym states passed, 39 waiting 0.00400001s
Iteration 342... 343 sym states passed, 40 waiting 0.00400001s
Iteration 343... 344 sym states passed, 40 waiting 0.00900001s
Iteration 344... 345 sym states passed, 41 waiting 0.00500001s
Iteration 345... 346 sym states passed, 41 waiting 0.00500001s
Iteration 346... 347 sym states passed, 42 waiting 0.00400001s
Iteration 347... 348 sym states passed, 42 waiting 0.00500001s
Iteration 348... 349 sym states passed, 42 waiting 0.00400001s
Iteration 349... 350 sym states passed, 43 waiting 0.00500001s
Iteration 350... 351 sym states passed, 43 waiting 0.00500001s
Iteration 351... 352 sym states passed, 44 waiting 0.00500001s
Iteration 352... 353 sym states passed, 44 waiting 0.00500001s
Iteration 353... 354 sym states passed, 44 waiting 0.00400001s
Iteration 354... 355 sym states passed, 45 waiting 0.00400001s
Iteration 355... 356 sym states passed, 45 waiting 0.00500001s
Iteration 356... 357 sym states passed, 46 waiting 0.00500001s
Iteration 357... 358 sym states passed, 46 waiting 0.00500001s
Iteration 358... 359 sym states passed, 46 waiting 0.00400001s
Iteration 359... 360 sym states passed, 47 waiting 0.00500001s
Iteration 360... 361 sym states passed, 47 waiting 0.00500001s
Iteration 361... 362 sym states passed, 48 waiting 0.00500001s
Iteration 362... 363 sym states passed, 48 waiting 0.00500001s
Iteration 363... 364 sym states passed, 48 waiting 0.00400001s
Iteration 364... 365 sym states passed, 49 waiting 0.00500001s
Iteration 365... 366 sym states passed, 49 waiting 0.00500001s
Iteration 366... 367 sym states passed, 50 waiting 0.00500001s
Iteration 367... 368 sym states passed, 50 waiting 0.00500001s
Iteration 368... 369 sym states passed, 50 waiting 0.00400001s
Iteration 369... 370 sym states passed, 51 waiting 0.00500001s
Iteration 370... 371 sym states passed, 51 waiting 0.00600001s
Iteration 371... 372 sym states passed, 52 waiting 0.00500001s
Iteration 372... 373 sym states passed, 52 waiting 0.00600001s
Iteration 373... 374 sym states passed, 52 waiting 0.00400001s
Iteration 374... 375 sym states passed, 53 waiting 0.00500001s
Iteration 375... 376 sym states passed, 53 waiting 0.00600001s
Iteration 376... 377 sym states passed, 54 waiting 0.00500001s
Iteration 377... 378 sym states passed, 54 waiting 0.00600001s
Iteration 378... 379 sym states passed, 54 waiting 0.00400001s
Iteration 379... 380 sym states passed, 55 waiting 0.00500001s
Iteration 380... 381 sym states passed, 55 waiting 0.00600001s
Iteration 381... 382 sym states passed, 56 waiting 0.00500001s
Iteration 382... 383 sym states passed, 56 waiting 0.00600001s
Iteration 383... 384 sym states passed, 56 waiting 0.00400001s
Iteration 384... 385 sym states passed, 55 waiting 0.00400001s
Iteration 385... 386 sym states passed, 56 waiting 0.00500001s
Iteration 386... 387 sym states passed, 56 waiting 0.00400001s
Iteration 387... 388 sym states passed, 55 waiting 0.00400001s
Iteration 388... 389 sym states passed, 56 waiting 0.00500001s
Iteration 389... 390 sym states passed, 56 waiting 0.00400001s
Iteration 390... 391 sym states passed, 55 waiting 0.00300001s
Iteration 391... 392 sym states passed, 54 waiting 0.00400001s
Iteration 392... 393 sym states passed, 55 waiting 0.00500001s
Iteration 393... 394 sym states passed, 55 waiting 0.00400001s
Iteration 394... 395 sym states passed, 54 waiting 0.00400001s
Iteration 395... 396 sym states passed, 55 waiting 0.00500001s
Iteration 396... 397 sym states passed, 55 waiting 0.00400001s
Iteration 397... 398 sym states passed, 54 waiting 0.00300001s
Iteration 398... 399 sym states passed, 53 waiting 0.00400001s
Iteration 399... 400 sym states passed, 54 waiting 0.00500001s
Iteration 400... 401 sym states passed, 54 waiting 0.00400001s
Iteration 401... 402 sym states passed, 53 waiting 0.00400001s
Iteration 402... 403 sym states passed, 54 waiting 0.00500001s
Iteration 403... 404 sym states passed, 54 waiting 0.00400001s
Iteration 404... 405 sym states passed, 53 waiting 0.00300001s
Iteration 405... 406 sym states passed, 52 waiting 0.00400001s
Iteration 406... 407 sym states passed, 53 waiting 0.00500001s
Iteration 407... 408 sym states passed, 53 waiting 0.00400001s
Iteration 408... 409 sym states passed, 52 waiting 0.00400001s
Iteration 409... 410 sym states passed, 53 waiting 0.00500001s
Iteration 410... 411 sym states passed, 53 waiting 0.00400001s
Iteration 411... 412 sym states passed, 52 waiting 0.00300001s
Iteration 412... 413 sym states passed, 51 waiting 0.00400001s
Iteration 413... 414 sym states passed, 52 waiting 0.00500001s
Iteration 414... 415 sym states passed, 52 waiting 0.00400001s
Iteration 415... 416 sym states passed, 51 waiting 0.00400001s
Iteration 416... 417 sym states passed, 52 waiting 0.00500001s
Iteration 417... 418 sym states passed, 52 waiting 0.00400001s
Iteration 418... 419 sym states passed, 51 waiting 0.00300001s
Iteration 419... 420 sym states passed, 50 waiting 0.00400001s
Iteration 420... 421 sym states passed, 51 waiting 0.00500001s
Iteration 421... 422 sym states passed, 51 waiting 0.00400001s
Iteration 422... 423 sym states passed, 50 waiting 0.00400001s
Iteration 423... 424 sym states passed, 51 waiting 0.00500001s
Iteration 424... 425 sym states passed, 51 waiting 0.00400001s
Iteration 425... 426 sym states passed, 50 waiting 0.00300001s
Iteration 426... 427 sym states passed, 49 waiting 0.00400001s
Iteration 427... 428 sym states passed, 50 waiting 0.00500001s
Iteration 428... 429 sym states passed, 50 waiting 0.00400001s
Iteration 429... 430 sym states passed, 49 waiting 0.00400001s
Iteration 430... 431 sym states passed, 50 waiting 0.00500001s
Iteration 431... 432 sym states passed, 50 waiting 0.00400001s
Iteration 432... 433 sym states passed, 49 waiting 0.00300001s
Iteration 433... 434 sym states passed, 48 waiting 0.00400001s
Iteration 434... 435 sym states passed, 49 waiting 0.00500001s
Iteration 435... 436 sym states passed, 49 waiting 0.00400001s
Iteration 436... 437 sym states passed, 48 waiting 0.00400001s
Iteration 437... 438 sym states passed, 49 waiting 0.00500001s
Iteration 438... 439 sym states passed, 49 waiting 0.00400001s
Iteration 439... 440 sym states passed, 48 waiting 0.00300001s
Iteration 440... 441 sym states passed, 48 waiting 0.00500001s
Iteration 441... 442 sym states passed, 48 waiting 0.00500001s
Iteration 442... 443 sym states passed, 47 waiting 0.00100001s
Iteration 443... 444 sym states passed, 47 waiting 0.00500001s
Iteration 444... 445 sym states passed, 47 waiting 0.00500001s
Iteration 445... 446 sym states passed, 46 waiting 0.00100001s
Iteration 446... 447 sym states passed, 46 waiting 0.00500001s
Iteration 447... 448 sym states passed, 46 waiting 0.00500001s
Iteration 448... 449 sym states passed, 45 waiting 0.00100001s
Iteration 449... 450 sym states passed, 45 waiting 0.00500001s
Iteration 450... 451 sym states passed, 45 waiting 0.00500001s
Iteration 451... 452 sym states passed, 44 waiting 0.00100001s
Iteration 452... 453 sym states passed, 43 waiting 0.00500001s
Iteration 453... 454 sym states passed, 43 waiting 0.00500001s
Iteration 454... 455 sym states passed, 42 waiting 0.00100001s
Iteration 455... 456 sym states passed, 41 waiting 0.00500001s
Iteration 456... 457 sym states passed, 41 waiting 0.00600001s
Iteration 457... 458 sym states passed, 40 waiting 0.00100001s
Iteration 458... 459 sym states passed, 40 waiting 0.00500001s
Iteration 459... 460 sym states passed, 40 waiting 0.00600001s
Iteration 460... 461 sym states passed, 39 waiting 0.00100001s
Iteration 461... 462 sym states passed, 39 waiting 0.00500001s
Iteration 462... 463 sym states passed, 39 waiting 0.00600001s
Iteration 463... 464 sym states passed, 38 waiting 0.00100001s
