Computing reachable states... 
Iteration 338... 322 sym states passed, 17 waiting 0.00300001s
Iteration 339... 323 sym states passed, 18 waiting 0.00500001s
Iteration 340... 324 sym states passed, 18 waiting 0.00600001s
Iteration 341... 325 sym states passed, 17 waiting 0.00300001s
Iteration 342... 326 sym states passed, 16 waiting 0.00400001s
Iteration 343... 327 sym states passed, 18 waiting 0.00500001s
Iteration 344... 328 sym states passed, 18 waiting 0.00600001s
Iteration 345... 329 sym states passed, 20 waiting 0.00600001s
Iteration 346... 330 sym states passed, 19 waiting 0.00200001s
Iteration 347... 331 sym states passed, 18 waiting 0.00200001s
Iteration 348... 332 sym states passed, 18 waiting 0.00300001s
Iteration 349... 333 sym states passed, 19 waiting 0.00600001s
Iteration 350... 334 sym states passed, 18 waiting 0.00200001s
Iteration 351... 335 sym states passed, 18 waiting 0.00300001s
Iteration 352... 336 sym states passed, 20 waiting 0.00600001s
Iteration 353... 337 sym states passed, 19 waiting 0.00200001s
Iteration 354... 338 sym states passed, 19 waiting 0.00300001s
Iteration 355... 339 sym states passed, 19 waiting 0.00300001s
Iteration 356... 340 sym states passed, 20 waiting 0.00600001s
Iteration 357... 341 sym states passed, 19 waiting 0.00200001s
Iteration 358... 342 sym states passed, 19 waiting 0.00300001s
Iteration 359... 343 sym states passed, 21 waiting 0.00600001s
Iteration 360... 344 sym states passed, 20 waiting 0.00200001s
Iteration 361... 345 sym states passed, 19 waiting 0.00200001s
Iteration 362... 346 sym states passed, 19 waiting 0.00300001s
Iteration 363... 347 sym states passed, 21 waiting 0.00500001s
Iteration 364... 348 sym states passed, 20 waiting 0.00500001s
Iteration 365... 349 sym states passed, 19 waiting 0.00500001s
Iteration 366... 350 sym states passed, 18 waiting 0.00300001s
Iteration 367... 351 sym states passed, 19 waiting 0.00400001s
Iteration 368... 352 sym states passed, 18 waiting 0.00600001s
Iteration 369... 353 sym states passed, 17 waiting 0.00300001s
Iteration 370... 354 sym states passed, 18 waiting 0.00500001s
Iteration 371... 355 sym states passed, 19 waiting 0.00400001s
Iteration 372... 356 sym states passed, 18 waiting 0.00800001s
Iteration 373... 357 sym states passed, 17 waiting 0.00300001s
Iteration 374... 358 sym states passed, 16 waiting 0.00300001s
Iteration 375... 359 sym states passed, 17 waiting 0.00500001s
Iteration 376... 360 sym states passed, 16 waiting 0.00600001s
Iteration 377... 361 sym states passed, 15 waiting 0.00300001s
Iteration 378... 362 sym states passed, 17 waiting 0.00500001s
Iteration 379... 363 sym states passed, 16 waiting 0.00600001s
Iteration 380... 364 sym states passed, 15 waiting 0.00600001s
Iteration 381... 365 sym states passed, 14 waiting 0.00300001s
Iteration 382... 366 sym states passed, 14 waiting 0.00300001s
Iteration 383... 367 sym states passed, 14 waiting 0.00300001s
Iteration 384... 368 sym states passed, 13 waiting 0.00900001s
Iteration 385... 369 sym states passed, 13 waiting 0.00300001s
Iteration 386... 370 sym states passed, 12 waiting 0.00600001s
Iteration 387... 371 sym states passed, 12 waiting 0.00300001s
Iteration 388... 372 sym states passed, 11 waiting 0.00700001s
Iteration 389... 373 sym states passed, 11 waiting 0.00300001s
Iteration 390... 374 sym states passed, 10 waiting 0.00700001s
Iteration 391... 375 sym states passed, 10 waiting 0.00300001s
Iteration 392... 376 sym states passed, 9 waiting 0.00600001s
Iteration 393... 377 sym states passed, 9 waiting 0.00300001s
Iteration 394... 378 sym states passed, 9 waiting 0.00300001s
Iteration 395... 379 sym states passed, 8 waiting 0.00900001s
